// onegai cindelela debut
 0, 0,0,0,1,0,	//24
30, 0,1,0,0,0,	//27
30, 0,0,1,0,0,	//30
50, 0,0,2,0,0,	//35
30, 0,0,3,0,0,	//38
30, 0,0,0,1,0,	//41
50, 0,1,0,0,0,	//46
60, 0,0,0,1,0,	//52
50, 0,1,0,0,0,	//57
30, 0,1,0,0,0,	//100
30, 0,0,0,1,0,	//103
30, 0,0,0,1,0,	//106
20, 0,0,2,0,0,	//108
30, 0,0,3,0,0,	//111
30, 1,0,0,0,0,	//114
20, 0,0,0,0,1,	//116
30, 0,0,1,0,0,	//119
20, 0,0,0,0,1,	//121
10, 1,0,0,0,0,	//122
30, 0,0,0,1,0,	//125
10, 0,1,0,0,0,	//126
10, 0,0,0,1,0,	//127
30, 1,0,0,0,0,	//130
10, 0,0,0,0,1,	//131
20, 0,1,0,0,0,	//133
30, 0,0,1,0,0,	//136
20, 0,0,0,1,0,	//138
20, 0,1,0,0,0,	//140
10, 0,0,2,0,0,	//141
30, 0,0,3,0,0,	//144
30, 0,0,0,1,0,	//147
50, 0,0,1,0,0,	//152
30, 0,0,1,0,0,	//155
30, 0,0,1,0,0,	//158
20, 0,1,0,0,0,	//200
20, 0,0,0,1,0,	//202
10, 0,1,0,1,0,	//203
30, 1,0,0,0,1,	//206
30, 0,0,1,0,0,	//209
20, 0,0,0,0,1,	//211
20, 0,0,0,0,1,	//213
10, 0,0,0,0,1,	//214
30, 0,1,0,0,0,	//217
10, 0,0,1,0,0,	//218
-1


